240
-0.970243,0,-1.07756|0,-1,0|0.633333,1|
-0.650004,0,-1.12583|0,-1,0|0.666667,0|
-0.725005,0,-1.25573|0,-1,0|0.666667,1|
-0.869873,0,-0.966085|0,1,0|0.633333,0|
-0.650004,0,-1.12583|0,1,0|0.666667,0|
-0.970243,0,-1.07756|0,1,0|0.633333,1|
-0.725005,0,-1.25573|0,1,0|0.666667,1|
-0.650004,0,-1.12583|0,-1,0|0.666667,0|
-0.725005,0,-1.25573|0,-1,0|0.666667,1|
-0.401726,0,-1.23637|0,-1,0|0.7,0|
-0.448079,0,-1.37903|0,-1,0|0.7,1|
-0.650004,0,-1.12583|0,1,0|0.666667,0|
-0.401726,0,-1.23637|0,1,0|0.7,0|
-0.725005,0,-1.25573|0,1,0|0.666667,1|
-0.448079,0,-1.37903|0,1,0|0.7,1|
-0.401726,0,-1.23637|0,-1,0|0.7,0|
-0.448079,0,-1.37903|0,-1,0|0.7,1|
-0.135892,0,-1.29288|0,-1,0|0.733333,0|
-0.151572,0,-1.44206|0,-1,0|0.733333,1|
-0.401726,0,-1.23637|0,1,0|0.7,0|
-0.135892,0,-1.29288|0,1,0|0.733333,0|
-0.448079,0,-1.37903|0,1,0|0.7,1|
-0.151572,0,-1.44206|0,1,0|0.733333,1|
-0.135892,0,-1.29288|0,-1,0|0.733333,0|
-0.151572,0,-1.44206|0,-1,0|0.733333,1|
0.135882,0,-1.29288|0,-1,0|0.766667,0|
0.151561,0,-1.44206|0,-1,0|0.766667,1|
-0.135892,0,-1.29288|0,1,0|0.733333,0|
0.135882,0,-1.29288|0,1,0|0.766667,0|
-0.151572,0,-1.44206|0,1,0|0.733333,1|
0.151561,0,-1.44206|0,1,0|0.766667,1|
0.135882,0,-1.29288|0,-1,0|0.766667,0|
0.151561,0,-1.44206|0,-1,0|0.766667,1|
0.401717,0,-1.23638|0,-1,0|0.8,0|
0.448069,0,-1.37903|0,-1,0|0.8,1|
0.135882,0,-1.29288|0,1,0|0.766667,0|
0.401717,0,-1.23638|0,1,0|0.8,0|
0.151561,0,-1.44206|0,1,0|0.766667,1|
0.448069,0,-1.37903|0,1,0|0.8,1|
0.401717,0,-1.23638|0,-1,0|0.8,0|
0.448069,0,-1.37903|0,-1,0|0.8,1|
0.649995,0,-1.12584|0,-1,0|0.833333,0|
0.724995,0,-1.25574|0,-1,0|0.833333,1|
0.401717,0,-1.23638|0,1,0|0.8,0|
0.649995,0,-1.12584|0,1,0|0.833333,0|
0.448069,0,-1.37903|0,1,0|0.8,1|
0.724995,0,-1.25574|0,1,0|0.833333,1|
0.649995,0,-1.12584|0,-1,0|0.833333,0|
0.724995,0,-1.25574|0,-1,0|0.833333,1|
0.869865,0,-0.966092|0,-1,0|0.866667,0|
0.970234,0,-1.07756|0,-1,0|0.866667,1|
0.649995,0,-1.12584|0,1,0|0.833333,0|
0.869865,0,-0.966092|0,1,0|0.866667,0|
0.724995,0,-1.25574|0,1,0|0.833333,1|
0.970234,0,-1.07756|0,1,0|0.866667,1|
0.869865,0,-0.966092|0,-1,0|0.866667,0|
0.970234,0,-1.07756|0,-1,0|0.866667,1|
1.05172,0,-0.764126|0,-1,0|0.9,0|
1.17307,0,-0.852294|0,-1,0|0.9,1|
0.869865,0,-0.966092|0,1,0|0.866667,0|
1.05172,0,-0.764126|0,1,0|0.9,0|
0.970234,0,-1.07756|0,1,0|0.866667,1|
1.17307,0,-0.852294|0,1,0|0.9,1|
