0,0.180965,0.0851558;0,0.175261,0.0963506;0.0120759,0.175261,0.0955909|0.5|0|0
0.0120759,0.175261,0.0955909;0.0106728,0.180965,0.0844843;0,0.180965,0.0851558|1|0|0
0,0.185955,0.0736248;0,0.180965,0.0851558;0.0106728,0.180965,0.0844843|0.5|0|0
0.0106728,0.180965,0.0844843;0.00922763,0.185955,0.0730442;0,0.185955,0.0736248|1|0|0
0,0.190211,0.0618033;0,0.185955,0.0736248;0.00922763,0.185955,0.0730442|0.5|0|0
0.00922763,0.185955,0.0730442;0.007746,0.190211,0.0613159;0,0.190211,0.0618033|1|0|0
0,0.193717,0.0497379;0,0.190211,0.0618033;0.007746,0.190211,0.0613159|0.5|0|0
0.007746,0.190211,0.0613159;0.00623381,0.193717,0.0493457;0,0.193717,0.0497379|1|0|0
0,0.196457,0.0374761;0,0.193717,0.0497379;0.00623381,0.193717,0.0493457|0.5|0|0
0.00623381,0.193717,0.0493457;0.004697,0.196457,0.0371806;0,0.196457,0.0374761|1|0|0
0,0.198423,0.0250665;0,0.196457,0.0374761;0.004697,0.196457,0.0371806|0.5|0|0
0.004697,0.196457,0.0371806;0.00314167,0.198423,0.0248689;0,0.198423,0.0250665|1|0|0
0,0.199605,0.012558;0,0.198423,0.0250665;0.00314167,0.198423,0.0248689|0.5|0|0
0.00314167,0.198423,0.0248689;0.00157393,0.199605,0.0124589;0,0.199605,0.012558|1|0|0
-0,0.2,-1.51793e-007;0,0.199605,0.012558;0.00157393,0.199605,0.0124589|0.5|0|0
0.00157393,0.199605,0.0124589;-1.90248e-008,0.2,-1.50596e-007;-0,0.2,-1.51793e-007|1|0|0
0.00157395,-0.199605,0.0124591;-1.0957e-009,-0.2,-8.67334e-009;-2.17412e-009,-0.2,-8.46762e-009|0.5|0|0
-2.17412e-009,-0.2,-8.46762e-009;0.00312307,-0.199605,0.0121636;0.00157395,-0.199605,0.0124591|1|0|0
0.00314168,-0.198423,0.024869;0.00157395,-0.199605,0.0124591;0.00312307,-0.199605,0.0121636|0.5|0|0
0.00312307,-0.199605,0.0121636;0.00623382,-0.198423,0.0242791;0.00314168,-0.198423,0.024869|1|0|0
0.00469702,-0.196457,0.0371808;0.00314168,-0.198423,0.024869;0.00623382,-0.198423,0.0242791|0.5|0|0
0.00623382,-0.198423,0.0242791;0.00931997,-0.196457,0.0362989;0.00469702,-0.196457,0.0371808|1|0|0
0.00623382,-0.193717,0.0493458;0.00469702,-0.196457,0.0371808;0.00931997,-0.196457,0.0362989|0.5|0|0
0.00931997,-0.196457,0.0362989;0.0123693,-0.193717,0.0481754;0.00623382,-0.193717,0.0493458|1|0|0
0.00774602,-0.190211,0.0613161;0.00623382,-0.193717,0.0493458;0.0123693,-0.193717,0.0481754|0.5|0|0
0.0123693,-0.193717,0.0481754;0.0153699,-0.190211,0.0598617;0.00774602,-0.190211,0.0613161|1|0|0
0.00922765,-0.185955,0.0730444;0.00774602,-0.190211,0.0613161;0.0153699,-0.190211,0.0598617|0.5|0|0
0.0153699,-0.190211,0.0598617;0.0183098,-0.185955,0.0713119;0.00922765,-0.185955,0.0730444|1|0|0
0.0106729,-0.180965,0.0844844;0.00922765,-0.185955,0.0730444;0.0183098,-0.185955,0.0713119|0.5|0|0
0.0183098,-0.185955,0.0713119;0.0211774,-0.180965,0.0824806;0.0106729,-0.180965,0.0844844|1|0|0
0.012076,-0.175261,0.095591;0.0106729,-0.180965,0.0844844;0.0211774,-0.180965,0.0824806|0.5|0|0
0.0211774,-0.180965,0.0824806;0.0239615,-0.175261,0.0933237;0.012076,-0.175261,0.095591|1|0|0
0.0134314,-0.168866,0.10632;0.012076,-0.175261,0.095591;0.0239615,-0.175261,0.0933237|0.5|0|0
0.0239615,-0.175261,0.0933237;0.026651,-0.168866,0.103799;0.0134314,-0.168866,0.10632|1|0|0
0.0147338,-0.161803,0.11663;0.0134314,-0.168866,0.10632;0.026651,-0.168866,0.103799|0.5|0|0
0.026651,-0.168866,0.103799;0.0292353,-0.161803,0.113864;0.0147338,-0.161803,0.11663|1|0|0
0.0159781,-0.154103,0.12648;0.0147338,-0.161803,0.11663;0.0292353,-0.161803,0.113864|0.5|0|0
0.0292353,-0.161803,0.113864;0.0317042,-0.154103,0.12348;0.0159781,-0.154103,0.12648|1|0|0
0.0171593,-0.145794,0.13583;0.0159781,-0.154103,0.12648;0.0317042,-0.154103,0.12348|0.5|0|0
0.0317042,-0.154103,0.12348;0.034048,-0.145794,0.132608;0.0171593,-0.145794,0.13583|1|0|0
0.0182728,-0.136909,0.144644;0.0171593,-0.145794,0.13583;0.034048,-0.145794,0.132608|0.5|0|0
0.034048,-0.145794,0.132608;0.0362574,-0.136909,0.141213;0.0182728,-0.136909,0.144644|1|0|0
0.0193142,-0.127485,0.152888;0.0182728,-0.136909,0.144644;0.0362574,-0.136909,0.141213|0.5|0|0
0.0362574,-0.136909,0.141213;0.0383238,-0.127485,0.149261;0.0193142,-0.127485,0.152888|1|0|0
0.0202793,-0.117557,0.160528;0.0193142,-0.127485,0.152888;0.0383238,-0.127485,0.149261|0.5|0|0
