160
-1.41421,2,-1.41422|-0.707105,0,-0.707109|0.625,1|
-0.765362,2,-1.84776|-0.382681,0,-0.923881|0.5625,1|
-0.765362,-2,-1.84776|-0.382681,0,-0.923881|0.5625,0.375|
-1.41421,-2,-1.41422|-0.707105,0,-0.707109|0.625,0.375|
0,-2,0|0,-1,0|0.8125,0.1875|
-0.765362,-2,-1.84776|0,-1,0|0.883487,0.35888|
-1.41421,-2,-1.41422|0,-1,0|0.943668,0.318669|
0,2,0|0,1,0|0.4375,0.1875|
-1.41421,2,-1.41422|0,1,0|0.568668,0.318669|
-1.84776,2,-0.765373|0,1,0|0.608879,0.258488|
-1.84776,2,-0.765373|-0.923878,0,-0.382687|0.6875,1|
-1.41421,2,-1.41422|-0.707105,0,-0.707109|0.625,1|
-1.41421,-2,-1.41422|-0.707105,0,-0.707109|0.625,0.375|
-1.84776,-2,-0.765373|-0.923878,0,-0.382687|0.6875,0.375|
0,-2,0|0,-1,0|0.8125,0.1875|
-1.41421,-2,-1.41422|0,-1,0|0.943668,0.318669|
-1.84776,-2,-0.765373|0,-1,0|0.983879,0.258488|
0,2,0|0,1,0|0.4375,0.1875|
-1.84776,2,-0.765373|0,1,0|0.608879,0.258488|
-2,2,-7.60554e-006|0,1,0|0.623,0.187501|
-2,2,-7.60554e-006|-1,0,-3.80277e-006|0.75,1|
-1.84776,2,-0.765373|-0.923878,0,-0.382687|0.6875,1|
-1.84776,-2,-0.765373|-0.923878,0,-0.382687|0.6875,0.375|
-2,-2,-7.60554e-006|-1,0,-3.80277e-006|0.75,0.375|
0,-2,0|0,-1,0|0.8125,0.1875|
-1.84776,-2,-0.765373|0,-1,0|0.983879,0.258488|
-2,-2,-7.60554e-006|0,-1,0|0.998,0.187501|
0,2,0|0,1,0|0.4375,0.1875|
-2,2,-7.60554e-006|0,1,0|0.623,0.187501|
-1.84776,2,0.765359|0,1,0|0.60888,0.116513|
-1.84776,2,0.765359|-0.923881,0,0.38268|0.8125,1|
-2,2,-7.60554e-006|-1,0,-3.80277e-006|0.75,1|
-2,-2,-7.60554e-006|-1,0,-3.80277e-006|0.75,0.375|
-1.84776,-2,0.765359|-0.923881,0,0.38268|0.8125,0.375|
0,-2,0|0,-1,0|0.8125,0.1875|
-2,-2,-7.60554e-006|0,-1,0|0.998,0.187501|
-1.84776,-2,0.765359|0,-1,0|0.98388,0.116513|
0,2,0|0,1,0|0.4375,0.1875|
-1.84776,2,0.765359|0,1,0|0.60888,0.116513|
-1.41422,2,1.41421|0,1,0|0.568669,0.0563323|
-1.41422,2,1.41421|-0.70711,0,0.707104|0.875,1|
-1.84776,2,0.765359|-0.923881,0,0.38268|0.8125,1|
-1.84776,-2,0.765359|-0.923881,0,0.38268|0.8125,0.375|
-1.41422,-2,1.41421|-0.70711,0,0.707104|0.875,0.375|
0,-2,0|0,-1,0|0.8125,0.1875|
-1.84776,-2,0.765359|0,-1,0|0.98388,0.116513|
-1.41422,-2,1.41421|0,-1,0|0.943669,0.0563323|
0,2,0|0,1,0|0.4375,0.1875|
-1.41422,2,1.41421|0,1,0|0.568669,0.0563323|
-0.765376,2,1.84776|0,1,0|0.508489,0.0161207|
-0.765376,2,1.84776|-0.382688,0,0.923878|0.9375,1|
-1.41422,2,1.41421|-0.70711,0,0.707104|0.875,1|
-1.41422,-2,1.41421|-0.70711,0,0.707104|0.875,0.375|
-0.765376,-2,1.84776|-0.382688,0,0.923878|0.9375,0.375|
0,-2,0|0,-1,0|0.8125,0.1875|
-1.41422,-2,1.41421|0,-1,0|0.943669,0.0563323|
-0.765376,-2,1.84776|0,-1,0|0.883489,0.0161207|
0,2,0|0,1,0|0.4375,0.1875|
-0.765376,2,1.84776|0,1,0|0.508489,0.0161207|
-1.01407e-005,2,2|0,1,0|0.437501,0.002|
-1.01407e-005,2,2|-5.07036e-006,0,1|1,1|
-0.765376,2,1.84776|-0.382688,0,0.923878|0.9375,1|
-0.765376,-2,1.84776|-0.382688,0,0.923878|0.9375,0.375|
-1.01407e-005,-2,2|-5.07036e-006,0,1|1,0.375|
